N°,Jerga,Significado,Estado
1,Asu!,"Asombro, entusiasmo, sorpresa",Positivo
2,Bacán,"Bueno, estupendo, excelente",Positivo
3,Bróder,Amigo de confianza,Positivo
4,Causa,Amigo cercano,Positivo
5,Costilla ,"Enamorada, pareja sentimental",Positivo
6,Chancha,"Recolección colectiva de dinero, por lo general para realizar una actividad en común",Positivo
7,Chévere ,"Magnificante, muy bueno",Positivo
8,Choche,"Amigo, conocido.",Positivo
9,Churro,"Persona atractiva, bella a la vista.",Positivo
10,Flaco(a),"Enamorado o enamorada, pareja sentimental",Positivo
11,Jale,Carisma para atraer personas,Positivo
12,Jama,Alimento,Positivo
13,Lechero,"Suertero, afortunado",Positivo
14,Paja,"Genial, increíble",Positivo
15,Pata,Amigo,Positivo
16,Tonear,Fiesta para bailar,Positivo
17,Yapa,Un bonus o adicional a un servicio o producto,Positivo
18,Achorado(a),"Personas agresivas, en ocasiones no deseables ",Negativo
19,Al toque,"Apurar, presionar para acabar algo de manera rápida",Negativo
20,Asado,"Enojado, irritado, enfadado",Negativo
21,Bamba,"Falso, adulterado",Negativo
22,Brócoli,Adjetivo despectivo para una persona homosexual,Negativo
23,Cabro,"Persona homosexual o afeminado, usualmente usado como insulto.",Negativo
24,Calabaza,Persona inepta y muy ignorante,Negativo
25,Cojudo,"Tonto, bobo.",Negativo
26,Conchudo,"Sinvergüenza, caradura.",Negativo
27,Chongo,"Escándalo, alboroto",Negativo
28,Chibolero,Persona adulta que suele salir con menores de edad o personas que son mucho menor que ellas.,Negativo
29,Choro,"Ladrón, persona que roba.",Negativo
30,Doble filo,"Bisexual, usado para burlarse de alguien más.",Negativo
31,Figureti,"Posero, que le gusta destacar sin importarle los demás.",Negativo
32,Florear,"Hablar con circunloquios y rodeos.
Mentir, engañar o hablar de forma que guste",Negativo
33,Fuiste,"Momento que pasó y no se puede arreglar. Por lo general, usado para denotar momentos negativos.",Negativo
34,Fumón,Adicto a fumar marihuana.,Negativo
35,Grone,"Persona oscura, de color. Generalmente ofensivo",Negativo
36,Jugador,"Persona promiscua, mujeriego ",Negativo
37,Mamacita,"Forma de piropeo usado generalmente hacia mujeres; sin embargo, se considera algo incomodo para estas",Negativo
38,Mañoso,Persona lujuriosa ,Negativo
39,Miércoles,"Reemplazo de la palabra ""mierda""",Negativo
40,Misio,Persona sin dinero en el momento de consulta,Negativo
41,Monse,Aburrido,Negativo
42,Pendejo,Palabra despectiva para astuto y taimado.,Negativo
43,Piña,Persona con mala suerte,Negativo
44,Pituco,Palabra despectiva usada para describir a las personas con dinero ,Negativo
45,Por las puras,"Hacer algo por nada, no esperar que suceda algo",Negativo
46,Pucha,Expresión de disgusto hacia algo o sorpresa,Negativo
47,Roche,Verguenza,Negativo
48,Calato,"Desnudo, en cueros.",Neutral
49,Cocho,"Persona de mayor edad, viejo o adulto.",Neutral
50,Chamba,"Empleo, trabajo.",Neutral
51,Chato,Dicho de una persona: De baja estatura. Apodo,Neutral
52,Charapa,Natural del oriente peruano. Usualmente usado como apodo,Neutral
53,Chongo,Prótibulo,Neutral
54,Chela,Cérveza,Neutral
55,Chibolo,"Niño, de edad temprana",Neutral
56,Chupar,Ingerir bebidas alcohólicas,Neutral
57,Fercho,"Chofer, conductor",Neutral
58,Germa,"Por lo general, se refiere a mujer como tal, pero en ocasiones se usa como enamorada.",Neutral
59,Huachimán,"Vigilante de seguridad, usualmente usado para cuidar un conjunto de casas.",Neutral
60,Huasca,Personas en estado de ebriedad.,Neutral
61,Jato,"Casa, Hogar",Neutral
62,Luca,Un nuevo sol peruano,Neutral
63,Pajear,Acción de masturbarte o relacionado a este,Neutral
64,Papaya,Palabra que reemplaza al organo sexual femenino,Neutral
65,Pichanga,Palabra usada generalmente para referirse a un partido de futbol ,Neutral
66,Profe,Forma de reducir la palabra profesor,Neutral
67,Tombo,Policia u oficial,Neutral
